"","geoid","city_code","pop_total","pop_with_water_supply","pop_with_sewer_service","qty_water_supply_paralizations","has_selective_waste_collection"
"464",2504009,"250400",405072,405072,405072,NA,"FALSE"
"465",2504074,"250407",4115,4115,4115,NA,NA
"466",2504108,"250410",2601,2601,NA,NA,"FALSE"
"467",2504157,"250415",7394,7394,NA,NA,"FALSE"
"468",2504207,"250420",4920,4920,4920,NA,"FALSE"
"469",2504306,"250430",30179,30179,30179,NA,"FALSE"
"470",2504355,"250435",4779,4779,NA,NA,"FALSE"
"471",2504405,"250440",18860,18860,18860,NA,"FALSE"
"472",2504504,"250450",6733,6733,NA,NA,NA
"473",2504702,"250470",4780,4780,NA,NA,"FALSE"
"474",2504801,"250480",15409,NA,NA,NA,"FALSE"
"475",2504850,"250485",1892,1892,NA,NA,"FALSE"
"476",2505006,"250500",7193,7193,7193,NA,NA
"477",2505105,"250510",20325,20325,NA,NA,NA
"478",2505303,"250530",2523,NA,NA,NA,NA
"479",2505352,"250535",5246,5246,NA,NA,"FALSE"
"480",2505402,"250540",8253,8253,NA,NA,"FALSE"
"481",2505501,"250550",3744,3744,NA,NA,NA
"482",2505600,"250560",6591,6591,6591,NA,"FALSE"
"483",2505709,"250570",10456,10456,NA,NA,"TRUE"
"484",2505907,"250590",3485,3485,NA,NA,"FALSE"
"485",2506004,"250600",32785,32785,NA,NA,"FALSE"
"486",2506103,"250610",11378,11378,NA,NA,"FALSE"
"487",2506202,"250620",2986,2986,2986,NA,"FALSE"
"488",2506251,"250625",8450,8450,NA,NA,NA
"489",2506509,"250650",3376,3376,NA,NA,NA
"490",2506608,"250660",5974,5974,NA,NA,"FALSE"
"491",2506707,"250670",11749,11749,NA,NA,"FALSE"
"492",2506806,"250680",18042,18042,NA,NA,NA
"493",2506905,"250690",24565,24565,NA,NA,NA
"494",2507002,"250700",24499,24499,24499,NA,NA
"495",2507200,"250720",10739,10739,NA,NA,"FALSE"
"496",2507408,"250740",7717,7717,7717,NA,"FALSE"
"497",2507705,"250770",17902,17902,NA,NA,NA
"498",2507804,"250780",7054,NA,NA,NA,NA
"499",2508000,"250800",9892,9892,NA,NA,"FALSE"
"500",2508109,"250810",4687,4687,NA,NA,NA
"501",2508307,"250830",27247,27247,27247,NA,"FALSE"
"502",2508406,"250840",2765,2765,NA,NA,"FALSE"
"503",2508505,"250850",7355,7355,NA,NA,NA
"504",2508554,"250855",4254,4254,NA,NA,"FALSE"
"505",2508703,"250870",4026,4026,4026,7,"FALSE"
"506",2508802,"250880",5672,5672,NA,NA,"FALSE"
"507",2509008,"250900",11066,11066,11066,NA,"FALSE"
"508",2509156,"250915",6522,6522,NA,NA,NA
"509",2509206,"250920",13654,13654,NA,NA,NA
"510",2509370,"250937",2869,2869,NA,NA,"FALSE"
"511",2509396,"250939",6441,6441,6441,NA,"FALSE"
"512",2509404,"250940",13317,13317,NA,NA,"FALSE"
"513",2509503,"250950",5528,5528,NA,NA,"FALSE"
"514",2509602,"250960",4759,4759,NA,NA,NA
"515",2509701,"250970",32774,32774,32774,NA,NA
"516",2509909,"250990",10450,10450,NA,NA,"FALSE"
"517",2510006,"251000",7318,7318,NA,NA,NA
"518",2510105,"251010",10650,10650,NA,NA,NA
"519",2510204,"251020",5999,5999,NA,NA,"FALSE"
"520",2510303,"251030",4784,4784,4784,NA,"FALSE"
"521",2510402,"251040",6646,6646,NA,NA,"FALSE"
"522",2510501,"251050",3880,3880,NA,NA,NA
"523",2510600,"251060",3023,3023,3023,NA,"FALSE"
"524",2510659,"251065",1795,1795,NA,NA,NA
"525",2510709,"251070",2383,2383,NA,NA,NA
"526",2510808,"251080",106314,106314,106314,NA,"FALSE"
"527",2510907,"251090",12216,12216,NA,NA,"FALSE"
"528",2511004,"251100",3796,3796,3796,2,"FALSE"
"529",2511103,"251110",7982,7982,7982,NA,"FALSE"
"530",2511301,"251130",15985,15985,NA,NA,"FALSE"
"531",2511400,"251140",18670,18670,NA,NA,NA
"532",2512002,"251200",18272,18272,NA,NA,"FALSE"
"533",2512036,"251203",3778,3778,NA,NA,"FALSE"
"534",2512077,"251207",4245,4245,NA,NA,"FALSE"
"535",2512101,"251210",32712,32712,32712,NA,"FALSE"
"536",2512200,"251220",4109,4109,NA,NA,NA
"537",2512309,"251230",22995,22995,NA,NA,NA
"538",2512408,"251240",13557,13557,NA,NA,NA
"539",2512507,"251250",43667,43667,43667,NA,"FALSE"
"540",2512606,"251260",1901,1901,1901,NA,"FALSE"
"541",2512705,"251270",19149,19149,NA,NA,"FALSE"
"542",2512747,"251274",3531,3531,NA,NA,"FALSE"
"543",2512754,"251275",4476,4476,NA,NA,NA
"544",2512788,"251278",1923,1923,NA,NA,"FALSE"
"545",2512804,"251280",8563,8563,8563,NA,"FALSE"
"546",2513000,"251300",3871,3871,3871,NA,"FALSE"
"547",2513109,"251310",12144,12144,NA,NA,"FALSE"
"548",2513158,"251315",6583,NA,NA,NA,NA
"549",2513208,"251320",6579,6579,NA,NA,"FALSE"
"550",2513307,"251330",5917,5917,5917,NA,"FALSE"
"551",2513356,"251335",3594,3594,3594,3,"FALSE"
"552",2513406,"251340",15278,15278,15278,NA,"FALSE"
"553",2513505,"251350",5223,5223,NA,NA,"FALSE"
"554",2513604,"251360",7113,7113,NA,NA,"FALSE"
"555",2513653,"251365",2680,2680,NA,NA,NA
"556",2513802,"251380",4592,4592,NA,NA,"FALSE"
"557",2513851,"251385",2541,NA,NA,NA,NA
